"Position","Name","Type","Signal","Label"
"1","PE2","Output","GPIO_Output","AlarmLED3"
"2","PE3","Output","GPIO_Output","AlarmLED4"
"3","PE4","Output","GPIO_Output","AlarmLED5"
"4","PE5","Output","GPIO_Output","AlarmLED6"
"5","PE6","Output","GPIO_Output","AlarmLED7"
"6","VBAT","Power","",""
"7","PC13-ANTI_TAMP","I/O","",""
"8","PC14-OSC32_IN","I/O","",""
"9","PC15-OSC32_OUT","I/O","",""
"10","VSS","Power","",""
"11","VDD","Power","",""
"12","PH0-OSC_IN","I/O","RCC_OSC_IN",""
"13","PH1-OSC_OUT","I/O","RCC_OSC_OUT",""
"14","NRST","Reset","",""
"15","PC0","Output","GPIO_Output","AlarmLED8"
"16","PC1","Output","GPIO_Output","SysOnLED"
"17","PC2","I/O","",""
"18","PC3","I/O","",""
"19","VDD","Power","",""
"20","VSSA","Power","",""
"21","VREF+","Power","",""
"22","VDDA","Power","",""
"23","PA0-WKUP","I/O","",""
"24","PA1","I/O","TIM5_CH2","MotorPWMOut"
"25","PA2","I/O","",""
"26","PA3","I/O","",""
"27","VSS","Power","",""
"28","VDD","Power","",""
"29","PA4","I/O","SPI1_NSS",""
"30","PA5","I/O","SPI1_SCK",""
"31","PA6","I/O","ADC1_IN6","VolumePotIn"
"32","PA7","I/O","ADC1_IN7","IERatioPotIn"
"33","PC4","I/O","",""
"34","PC5","I/O","",""
"35","PB0","I/O","ADC1_IN8","FrequencyPotIn"
"36","PB1","I/O","ADC1_IN9","PressureLvlPotIn"
"37","PB2","I/O","",""
"38","PE7","I/O","",""
"39","PE8","I/O","",""
"40","PE9","I/O","",""
"41","PE10","I/O","",""
"42","PE11","I/O","",""
"43","PE12","I/O","GPIO_EXTI12","StartStopBtnIn"
"44","PE13","I/O","GPIO_EXTI13","EditBtnIn"
"45","PE14","I/O","GPIO_EXTI14","CalibrationBtnIn"
"46","PE15","I/O","GPIO_EXTI15","AlarmSilenceBtnIn"
"47","PB10","I/O","",""
"48","PB11","I/O","",""
"49","VCAP_1","Power","",""
"50","VDD","Power","",""
"51","PB12","I/O","",""
"52","PB13","I/O","",""
"53","PB14","I/O","",""
"54","PB15","I/O","",""
"55","PD8","I/O","",""
"56","PD9","I/O","",""
"57","PD10","I/O","",""
"58","PD11","I/O","",""
"59","PD12","I/O","TIM4_CH1","ArmEncoderA"
"60","PD13","I/O","TIM4_CH2","ArmEncoderB"
"61","PD14","I/O","",""
"62","PD15","I/O","",""
"63","PC6","I/O","TIM3_CH1","MotorEncoderA"
"64","PC7","I/O","TIM3_CH2","MotorEncoderB"
"65","PC8","I/O","",""
"66","PC9","I/O","",""
"67","PA8","I/O","",""
"68","PA9","I/O","",""
"69","PA10","I/O","",""
"70","PA11","I/O","",""
"71","PA12","I/O","",""
"72","PA13","I/O","SYS_JTMS-SWDIO",""
"73","VCAP_2","Power","",""
"74","VSS","Power","",""
"75","VDD","Power","",""
"76","PA14","I/O","SYS_JTCK-SWCLK",""
"77","PA15","I/O","",""
"78","PC10","I/O","",""
"79","PC11","I/O","",""
"80","PC12","I/O","UART5_TX",""
"81","PD0","I/O","",""
"82","PD1","I/O","",""
"83","PD2","I/O","UART5_RX",""
"84","PD3","I/O","",""
"85","PD4","Output","GPIO_Output","MotorCW"
"86","PD5","Output","GPIO_Output","MotorCCW"
"87","PD6","Output","GPIO_Output","PSnsrCSADCOut"
"88","PD7","Output","GPIO_Output","PSnsrCSEEOut"
"89","PB3","I/O","",""
"90","PB4","I/O","SPI1_MISO",""
"91","PB5","I/O","SPI1_MOSI",""
"92","PB6","I/O","I2C1_SCL",""
"93","PB7","I/O","I2C1_SDA",""
"94","BOOT0","Boot","",""
"95","PB8","I/O","TIM10_CH1","BuzzerPWMOut"
"96","PB9","I/O","",""
"97","PE0","Output","GPIO_Output","AlarmLED1"
"98","PE1","Output","GPIO_Output","AlarmLED2"
"99","VSS","Power","",""
"100","VDD","Power","",""
